 2017-01-03 21:31:24,932 [P10648/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SHIMI-PC
 2017-01-03 21:31:27,862 [P10648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:31:27,872 [P10648/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-01-03 21:31:27,890 [P10648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:31:27,971 [P10648/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2017-01-03 21:31:28,012 [P10648/D2/T1] INFO  umbraco.content - Load Xml from file...
 2017-01-03 21:31:28,028 [P10648/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2017-01-03 21:31:28,031 [P10648/D2/T1] INFO  umbraco.content - Loading content from database...
 2017-01-03 21:31:28,039 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-01-03 21:31:28,049 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 10ms)
 2017-01-03 21:31:29,662 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-01-03 21:31:29,687 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 25ms)
 2017-01-03 21:31:33,031 [P10648/D2/T13] INFO  umbraco.content - Save Xml to file...
 2017-01-03 21:31:33,036 [P10648/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-01-03 21:31:33,037 [P10648/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-01-03 21:31:33,048 [P10648/D2/T13] INFO  umbraco.content - Saved Xml to file.
 2017-01-03 21:31:33,277 [P10648/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8601ms)
 2017-01-03 21:31:33,631 [P10648/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:40697/umbraco (UmbracoModule request)
 2017-01-03 21:31:43,420 [P10648/D2/T6] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-01-03 21:32:34,435 [P10648/D2/T19] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-01-02 21:32:34
 2017-01-03 21:36:47,730 [P10648/D2/T36] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username shimi128@gmail.com from IP address ::1
 2017-01-03 21:36:47,736 [P10648/D2/T36] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: shimi128@gmail.com logged in from IP address ::1
 2017-01-03 21:36:48,348 [P10648/D2/T33] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:36:48,358 [P10648/D2/T33] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 9ms)
 2017-01-03 21:36:49,050 [P10648/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-01-03 21:36:49,083 [P10648/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 33ms)
 2017-01-03 21:36:49,448 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-01-03 21:36:49,462 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 14ms)
 2017-01-03 21:36:49,563 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:36:49,563 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-01-03 21:36:49,567 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-01-03 21:36:49,588 [P10648/D2/T28] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 21ms)
 2017-01-03 21:40:19,469 [P10388/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SHIMI-PC
 2017-01-03 21:40:19,494 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-03 21:40:19,512 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 17ms)
 2017-01-03 21:40:19,586 [P10388/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-03 21:40:19,588 [P10388/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-03 21:40:19,596 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-03 21:40:19,614 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 17ms)
 2017-01-03 21:40:19,646 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-03 21:40:19,648 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-01-03 21:40:19,649 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-01-03 21:40:19,652 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-01-03 21:40:19,670 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-01-03 21:40:19,672 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2017-01-03 21:40:19,673 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-01-03 21:40:19,680 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 7ms)
 2017-01-03 21:40:19,732 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-01-03 21:40:19,733 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-01-03 21:40:19,734 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-01-03 21:40:19,735 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-01-03 21:40:21,048 [P10388/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:40:21,212 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2017-01-03 21:40:21,215 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Models.PublishedContent.PublishedContentModel, found 0 (took 2ms)
 2017-01-03 21:40:21,294 [P10388/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:40:21,312 [P10388/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-01-03 21:40:21,336 [P10388/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:40:21,357 [P10388/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-01-03 21:40:21,373 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-01-03 21:40:21,376 [P10388/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2017-01-03 21:40:21,591 [P10388/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-01-03 21:40:21,820 [P10388/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2437ms)
 2017-01-03 21:40:22,010 [P10388/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:40697/umbraco (UmbracoModule request)
 2017-01-03 21:40:22,456 [P10388/D2/T7] INFO  umbraco.content - Load Xml from file...
 2017-01-03 21:40:22,460 [P10388/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2017-01-03 21:40:23,059 [P10388/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-01-03 21:40:23,061 [P10388/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2017-01-03 21:40:38,116 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:40:38,118 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 2ms)
 2017-01-03 21:40:38,124 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-01-03 21:40:38,125 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2017-01-03 21:40:38,180 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2017-01-03 21:40:38,181 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2017-01-03 21:40:38,200 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2017-01-03 21:40:38,203 [P10388/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 2ms)
 2017-01-03 21:40:38,326 [P10388/D2/T18] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field editor
 2017-01-03 21:40:38,326 [P10388/D2/T18] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field hideLabel
 2017-01-03 21:41:14,867 [P10388/D2/T16] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:41:14,867 [P10388/D2/T16] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-01-03 21:41:15,304 [P10388/D2/T16] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field editor
 2017-01-03 21:41:15,304 [P10388/D2/T16] WARN  Umbraco.Web.Models.Mapping.PreValueDisplayResolver - Could not find persisted pre-value for field hideLabel
 2017-01-03 21:41:16,954 [P10388/D2/T16] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-01-03 21:41:22,492 [P10388/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-01-02 21:41:22
 2017-01-03 21:43:37,526 [P10388/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2017-01-03 21:43:37,551 [P10388/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 24ms)
 2017-01-03 21:43:42,598 [P10388/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2017-01-03 21:43:42,610 [P10388/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 11ms)
 2017-01-03 21:45:02,651 [P10388/D2/T38] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1052' has been published.
 2017-01-03 21:45:06,826 [P10388/D2/T12] INFO  umbraco.content - Save Xml to file...
 2017-01-03 21:45:06,831 [P10388/D2/T12] INFO  umbraco.content - Saved Xml to file.
 2017-01-03 21:45:43,950 [P10388/D2/T45] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:45:43,950 [P10388/D2/T45] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-01-03 21:46:02,778 [P10388/D2/T43] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:46:02,778 [P10388/D2/T43] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-01-03 21:46:14,714 [P10388/D2/T38] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1052' has been published.
 2017-01-03 21:46:18,772 [P10388/D2/T47] INFO  umbraco.content - Save Xml to file...
 2017-01-03 21:46:18,775 [P10388/D2/T47] INFO  umbraco.content - Saved Xml to file.
 2017-01-03 21:46:36,332 [P10388/D2/T41] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.HealthCheck.HealthCheck
 2017-01-03 21:46:36,346 [P10388/D2/T41] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.HealthCheck.HealthCheck, found 0 (took 14ms)
 2017-01-03 21:53:34,943 [P10388/D2/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2017-01-03 21:53:34,943 [P10388/D2/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2017-01-03 21:59:56,369 [P10388/D2/T54] INFO  Umbraco.Core.MainDom - Stopping...
 2017-01-03 21:59:56,372 [P10388/D2/T54] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-01-03 21:59:56,374 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2017-01-03 21:59:56,374 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2017-01-03 21:59:56,374 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2017-01-03 21:59:56,374 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2017-01-03 21:59:56,375 [P10388/D2/T45] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2017-01-03 21:59:56,375 [P10388/D2/T18] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2017-01-03 21:59:56,385 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2017-01-03 21:59:56,385 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2017-01-03 21:59:56,385 [P10388/D2/T25] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2017-01-03 21:59:56,385 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2017-01-03 21:59:56,386 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2017-01-03 21:59:56,386 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2017-01-03 21:59:56,386 [P10388/D2/T54] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2017-01-03 21:59:56,386 [P10388/D2/T26] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2017-01-03 21:59:56,386 [P10388/D2/T14] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2017-01-03 22:00:10,817 [P10388/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SHIMI-PC
 2017-01-03 22:00:10,841 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-03 22:00:10,854 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 12ms)
 2017-01-03 22:00:10,913 [P10388/D3/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-03 22:00:10,914 [P10388/D3/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-03 22:00:10,923 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-03 22:00:11,339 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 415ms)
 2017-01-03 22:00:11,357 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-03 22:00:11,364 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2017-01-03 22:00:11,365 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-01-03 22:00:11,375 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 9ms)
 2017-01-03 22:00:11,389 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-01-03 22:00:11,397 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 7ms)
 2017-01-03 22:00:11,398 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-01-03 22:00:11,410 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 12ms)
 2017-01-03 22:00:11,447 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-01-03 22:00:11,454 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 7ms)
 2017-01-03 22:00:11,455 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-01-03 22:00:11,462 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2017-01-03 22:00:12,649 [P10388/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 22:00:12,806 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2017-01-03 22:00:12,820 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Models.PublishedContent.PublishedContentModel, found 0 (took 13ms)
 2017-01-03 22:00:12,891 [P10388/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 22:00:12,903 [P10388/D3/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-01-03 22:00:12,923 [P10388/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 22:00:12,943 [P10388/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-01-03 22:00:12,959 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-01-03 22:00:12,970 [P10388/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 11ms)
 2017-01-03 22:00:13,195 [P10388/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-01-03 22:00:13,333 [P10388/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2591ms)
 2017-01-03 22:00:13,553 [P10388/D3/T18] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:40697/umbraco (UmbracoModule request)
 2017-01-03 22:00:14,126 [P10388/D3/T18] INFO  umbraco.content - Load Xml from file...
 2017-01-03 22:00:14,141 [P10388/D3/T18] INFO  umbraco.content - Loaded Xml from file.
 2017-01-03 22:00:14,669 [P10388/D3/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-01-03 22:00:14,700 [P10388/D3/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 30ms)
 2017-01-03 22:00:17,364 [P10388/D4/T48] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SHIMI-PC
 2017-01-03 22:00:17,396 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-03 22:00:17,412 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Hash determined (took 16ms)
 2017-01-03 22:00:17,484 [P10388/D4/T48] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-03 22:00:17,488 [P10388/D3/T51] INFO  Umbraco.Core.MainDom - Stopping...
 2017-01-03 22:00:17,491 [P10388/D3/T51] INFO  Umbraco.Core.MainDom - Released MainDom.
 2017-01-03 22:00:17,493 [P10388/D4/T48] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-03 22:00:17,502 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-03 22:00:17,524 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 21ms)
 2017-01-03 22:00:17,570 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-03 22:00:17,572 [P10388/D4/T48] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
